clientReference,accountReference,effectiveDateTime,iban,paymentType,paymentSubtype
30103,330103,2023-11-18,203,Crypto Transfers,Transfer out
30104,330104,2023-11-17,204,Crypto Transfers,Transfer in
30105,330105,2023-11-16,205,Crypto Transfers,Transfer in
30106,330106,2023-11-15,206,Crypto Transfers,Transfer in
30107,330107,2023-11-14,207,ACH,ACH In
30108,330108,2023-11-13,208,Crypto Transfers,Transfer in
30109,330109,2023-11-12,209,ACH,ACH In
30110,330110,2023-11-11,210,Wire,Wire In
30111,330111,2023-11-10,211,Wire,Wire In
30112,330112,2023-11-09,212,Wire,Wire In
30113,330113,2023-11-08,213,Crypto Transfers,Transfer in
30114,330114,2023-11-07,214,ACAT,ACAT Out
30115,330115,2023-11-06,215,Crypto Transfers,Transfer in
30116,330116,2023-11-05,216,Customer Contact,Phone Number
30117,330117,2023-11-04,217,ACAT,ACAT In
30118,330118,2023-11-03,218,ACH,ACH Out
30119,330119,2023-11-02,219,Crypto Transfers,Transfer in
30120,330120,2023-11-01,220,ACH,ACH Out
30121,330121,2023-10-31,221,ACAT,ACAT Out
30122,330122,2023-10-30,222,Customer Contact,Phone Number
30123,330123,2023-10-29,223,ACAT,ACAT Out
30124,330124,2023-10-28,224,Customer Contact,Name
30125,330125,2023-10-27,225,ACAT,ACAT Out
30126,330126,2023-10-26,226,ACAT,ACAT Out
30127,330127,2023-10-25,227,Customer Contact,Name
30128,330128,2023-10-24,228,Crypto Transfers,Transfer out
30129,330129,2023-10-23,229,Customer Contact,Address
30130,330130,2023-10-22,230,ACH,ACH In
30131,330131,2023-10-21,231,Crypto Transfers,Transfer in
30132,330132,2023-10-20,232,Crypto Transfers,Transfer out
30133,330133,2023-10-19,233,Wire,Wire Out
30134,330134,2023-10-18,234,Customer Contact,Phone Number
30135,330135,2023-10-17,235,Crypto Transfers,Transfer in
30136,330136,2023-10-16,236,ACAT,ACAT Out
30137,330137,2023-10-15,237,Customer Contact,E-mail
30138,330138,2023-10-14,238,ACH,ACH In
30139,330139,2023-10-13,239,ACH,ACH Out
30140,330140,2023-10-12,240,Crypto Transfers,Transfer in
30141,330141,2023-10-11,241,ACAT,ACAT In
30142,330142,2023-10-10,242,Crypto Transfers,Transfer in
30143,330143,2023-10-09,243,ACH,ACH Out
30144,330144,2023-10-08,244,ACH,ACH Out
30145,330145,2023-10-07,245,Wire,Wire In
30146,330146,2023-10-06,246,ACH,ACH Out
30147,330147,2023-10-05,247,Customer Contact,Name
30148,330148,2023-10-04,248,ACH,ACH In
30149,330149,2023-10-03,249,Customer Contact,Name
30150,330150,2023-10-02,250,ACH,ACH In
30151,330151,2023-10-01,251,Customer Contact,Name
30152,330152,2023-09-30,252,Customer Contact,E-mail
30153,330153,2023-09-29,253,Customer Contact,Phone Number
30154,330154,2023-09-28,254,ACH,ACH In
30155,330155,2023-09-27,255,ACH,ACH In
30156,330156,2023-09-26,256,Wire,Wire Out
30157,330157,2023-09-25,257,ACAT,ACAT Out
30158,330158,2023-09-24,258,ACH,ACH Out
30159,330159,2023-09-23,259,Wire,Wire Out
30160,330160,2023-09-22,260,ACAT,ACAT In
30161,330161,2023-09-21,261,Crypto Transfers,Transfer in
30162,330162,2023-09-20,262,Wire,Wire Out
30163,330163,2023-09-19,263,ACAT,ACAT Out
30164,330164,2023-09-18,264,Crypto Transfers,Transfer in
30165,330165,2023-09-17,265,Customer Contact,Name
30166,330166,2023-09-16,266,Wire,Wire In
30167,330167,2023-09-15,267,Wire,Wire In
30168,330168,2023-09-14,268,Wire,Wire In
30169,330169,2023-09-13,269,ACAT,ACAT Out
30170,330170,2023-09-12,270,ACAT,ACAT Out
30171,330171,2023-09-11,271,Wire,Wire Out
30172,330172,2023-09-10,272,Crypto Transfers,Transfer out
30173,330173,2023-09-09,273,ACH,ACH In
30174,330174,2023-09-08,274,ACAT,ACAT Out
30175,330175,2023-09-07,275,ACAT,ACAT Out
30176,330176,2023-09-06,276,ACH,ACH Out
30177,330177,2023-09-05,277,Crypto Transfers,Transfer in
30178,330178,2023-09-04,278,ACH,ACH In
30179,330179,2023-09-03,279,Wire,Wire In
30180,330180,2023-09-02,280,Customer Contact,Address
30181,330181,2023-09-01,281,Customer Contact,E-mail
30182,330182,2023-08-31,282,ACH,ACH In
30183,330183,2023-08-30,283,Wire,Wire In
30184,330184,2023-08-29,284,Crypto Transfers,Transfer in
30185,330185,2023-08-28,285,Customer Contact,Address
30186,330186,2023-08-27,286,ACH,ACH In
30187,330187,2023-08-26,287,Customer Contact,Phone Number
30188,330188,2023-08-25,288,Wire,Wire In
30189,330189,2023-08-24,289,ACAT,ACAT In
30190,330190,2023-08-23,290,Customer Contact,E-mail
30191,330191,2023-08-22,291,Crypto Transfers,Transfer out
30192,330192,2023-08-21,292,Customer Contact,Address
30193,330193,2023-08-20,293,Customer Contact,E-mail
30194,330194,2023-08-19,294,ACAT,ACAT Out
30195,330195,2023-08-18,295,Crypto Transfers,Transfer out
30196,330196,2023-08-17,296,Customer Contact,Address
30197,330197,2023-08-16,297,Wire,Wire Out
30198,330198,2023-08-15,298,ACH,ACH In
30199,330199,2023-08-14,299,ACAT,ACAT Out
30200,330200,2023-08-13,300,ACAT,ACAT In
30201,330201,2023-08-12,301,Customer Contact,Phone Number
30202,330202,2023-08-11,302,Wire,Wire In
30203,330203,2023-08-10,303,ACAT,ACAT In
30204,330204,2023-08-09,304,ACH,ACH Out
30205,330205,2023-08-08,305,Crypto Transfers,Transfer out
30206,330206,2023-08-07,306,Wire,Wire In
30207,330207,2023-08-06,307,ACH,ACH In
30208,330208,2023-08-05,308,Crypto Transfers,Transfer out
30209,330209,2023-08-04,309,Wire,Wire In
30210,330210,2023-08-03,310,Crypto Transfers,Transfer out
30211,330211,2023-08-02,311,ACAT,ACAT Out
30212,330212,2023-08-01,312,Wire,Wire Out
30213,330213,2023-07-31,313,ACAT,ACAT Out
30214,330214,2023-07-30,314,ACAT,ACAT In
30215,330215,2023-07-29,315,Crypto Transfers,Transfer in
30216,330216,2023-07-28,316,ACH,ACH In
30217,330217,2023-07-27,317,ACAT,ACAT In
30218,330218,2023-07-26,318,ACAT,ACAT In
30219,330219,2023-07-25,319,Customer Contact,Name
30220,330220,2023-07-24,320,ACH,ACH Out
30221,330221,2023-07-23,321,Crypto Transfers,Transfer in
30222,330222,2023-07-22,322,ACH,ACH In
30223,330223,2023-07-21,323,Wire,Wire In
30224,330224,2023-07-20,324,ACH,ACH Out
30225,330225,2023-07-19,325,Customer Contact,E-mail
30226,330226,2023-07-18,326,Customer Contact,E-mail
30227,330227,2023-07-17,327,ACH,ACH Out
30228,330228,2023-07-16,328,Wire,Wire In
30229,330229,2023-07-15,329,ACAT,ACAT In
30230,330230,2023-07-14,330,ACAT,ACAT In
30231,330231,2023-07-13,331,Customer Contact,E-mail
30232,330232,2023-07-12,332,Crypto Transfers,Transfer in
30233,330233,2023-07-11,333,Wire,Wire Out
30234,330234,2023-07-10,334,ACAT,ACAT In
30235,330235,2023-07-09,335,Customer Contact,Address
30236,330236,2023-07-08,336,ACAT,ACAT Out
30237,330237,2023-07-07,337,Wire,Wire In
30238,330238,2023-07-06,338,Customer Contact,Name
30239,330239,2023-07-05,339,Crypto Transfers,Transfer out
30240,330240,2023-07-04,340,Wire,Wire Out
30241,330241,2023-07-03,341,ACH,ACH Out
30242,330242,2023-07-02,342,Crypto Transfers,Transfer out
30243,330243,2023-07-01,343,Wire,Wire In
30244,330244,2023-06-30,344,Crypto Transfers,Transfer in
30245,330245,2023-06-29,345,Wire,Wire In
30246,330246,2023-06-28,346,Crypto Transfers,Transfer in
30247,330247,2023-06-27,347,ACAT,ACAT In
30248,330248,2023-06-26,348,ACH,ACH In
30249,330249,2023-06-25,349,ACAT,ACAT In
30250,330250,2023-06-24,350,Customer Contact,Name
30251,330251,2023-06-23,351,ACH,ACH In
30252,330252,2023-06-22,352,ACH,ACH Out
30253,330253,2023-06-21,353,ACAT,ACAT In
30254,330254,2023-06-20,354,Crypto Transfers,Transfer out
30255,330255,2023-06-19,355,ACAT,ACAT In
30256,330256,2023-06-18,356,ACAT,ACAT Out
30257,330257,2023-06-17,357,Crypto Transfers,Transfer in
30258,330258,2023-06-16,358,ACH,ACH Out
30259,330259,2023-06-15,359,Crypto Transfers,Transfer in
30260,330260,2023-06-14,360,Customer Contact,Phone Number
30261,330261,2023-06-13,361,Crypto Transfers,Transfer out
30262,330262,2023-06-12,362,Customer Contact,Name
30263,330263,2023-06-11,363,Crypto Transfers,Transfer out
30264,330264,2023-06-10,364,Customer Contact,Name
30265,330265,2023-06-09,365,Customer Contact,Address
30266,330266,2023-06-08,366,ACH,ACH Out
30267,330267,2023-06-07,367,Wire,Wire In
30268,330268,2023-06-06,368,Customer Contact,Address
30269,330269,2023-06-05,369,Wire,Wire In
30270,330270,2023-06-04,370,ACAT,ACAT In
30271,330271,2023-06-03,371,Crypto Transfers,Transfer in
30272,330272,2023-06-02,372,Customer Contact,Name
30273,330273,2023-06-01,373,Crypto Transfers,Transfer out
30274,330274,2023-05-31,374,ACAT,ACAT In
30275,330275,2023-05-30,375,ACAT,ACAT In
30276,330276,2023-05-29,376,Crypto Transfers,Transfer out
30277,330277,2023-05-28,377,Crypto Transfers,Transfer in
30278,330278,2023-05-27,378,Crypto Transfers,Transfer out
30279,330279,2023-05-26,379,Wire,Wire In
30280,330280,2023-05-25,380,ACH,ACH Out
30281,330281,2023-05-24,381,ACAT,ACAT Out
30282,330282,2023-05-23,382,Crypto Transfers,Transfer in
30283,330283,2023-05-22,383,ACH,ACH Out
30284,330284,2023-05-21,384,ACAT,ACAT In
30285,330285,2023-05-20,385,Customer Contact,Phone Number
30286,330286,2023-05-19,386,Wire,Wire Out
30287,330287,2023-05-18,387,Wire,Wire In
30288,330288,2023-05-17,388,Crypto Transfers,Transfer out
30289,330289,2023-05-16,389,Crypto Transfers,Transfer in
30290,330290,2023-05-15,390,Customer Contact,E-mail
30291,330291,2023-05-14,391,ACH,ACH In
30292,330292,2023-05-13,392,Wire,Wire In
30293,330293,2023-05-12,393,ACAT,ACAT Out
30294,330294,2023-05-11,394,Crypto Transfers,Transfer in
30295,330295,2023-05-10,395,Customer Contact,Phone Number
30296,330296,2023-05-09,396,Wire,Wire Out
30297,330297,2023-05-08,397,ACH,ACH In
30298,330298,2023-05-07,398,Crypto Transfers,Transfer in
30299,330299,2023-05-06,399,Customer Contact,E-mail
30300,330300,2023-05-05,400,Customer Contact,E-mail
30301,330301,2023-05-04,401,ACAT,ACAT Out
30302,330302,2023-05-03,402,Wire,Wire In
30303,330303,2023-05-02,403,Customer Contact,E-mail
30304,330304,2023-05-01,404,ACH,ACH Out
30305,330305,2023-04-30,405,Crypto Transfers,Transfer out
30306,330306,2023-04-29,406,Wire,Wire Out
30307,330307,2023-04-28,407,Wire,Wire Out
30308,330308,2023-04-27,408,Wire,Wire Out
30309,330309,2023-04-26,409,Customer Contact,E-mail
30310,330310,2023-04-25,410,ACAT,ACAT Out
30311,330311,2023-04-24,411,ACAT,ACAT Out
30312,330312,2023-04-23,412,Customer Contact,Address
30313,330313,2023-04-22,413,Wire,Wire Out
30314,330314,2023-04-21,414,ACH,ACH Out
30315,330315,2023-04-20,415,ACAT,ACAT In
30316,330316,2023-04-19,416,Customer Contact,Phone Number
30317,330317,2023-04-18,417,Wire,Wire Out
30318,330318,2023-04-17,418,ACH,ACH Out
30319,330319,2023-04-16,419,Wire,Wire In
30320,330320,2023-04-15,420,ACAT,ACAT Out
30321,330321,2023-04-14,421,ACAT,ACAT In
30322,330322,2023-04-13,422,Crypto Transfers,Transfer out
30323,330323,2023-04-12,423,Customer Contact,Name
30324,330324,2023-04-11,424,ACH,ACH Out
30325,330325,2023-04-10,425,ACH,ACH Out
30326,330326,2023-04-09,426,ACAT,ACAT Out
30327,330327,2023-04-08,427,Crypto Transfers,Transfer in
30328,330328,2023-04-07,428,Wire,Wire Out
30329,330329,2023-04-06,429,ACAT,ACAT Out
30330,330330,2023-04-05,430,Crypto Transfers,Transfer in
30331,330331,2023-04-04,431,Wire,Wire Out
30332,330332,2023-04-03,432,Customer Contact,Address
30333,330333,2023-04-02,433,Customer Contact,Phone Number
30334,330334,2023-04-01,434,ACAT,ACAT Out
30335,330335,2023-03-31,435,ACH,ACH Out
30336,330336,2023-03-30,436,ACH,ACH In
30337,330337,2023-03-29,437,Crypto Transfers,Transfer in
30338,330338,2023-03-28,438,Wire,Wire Out
30339,330339,2023-03-27,439,Crypto Transfers,Transfer out
30340,330340,2023-03-26,440,Customer Contact,Address
30341,330341,2023-03-25,441,ACAT,ACAT In
30342,330342,2023-03-24,442,Crypto Transfers,Transfer in
30343,330343,2023-03-23,443,Customer Contact,Phone Number
30344,330344,2023-03-22,444,ACH,ACH Out
30345,330345,2023-03-21,445,ACH,ACH In
30346,330346,2023-03-20,446,ACAT,ACAT In
30347,330347,2023-03-19,447,Customer Contact,Address
30348,330348,2023-03-18,448,ACAT,ACAT Out
30349,330349,2023-03-17,449,ACH,ACH In
30350,330350,2023-03-16,450,Customer Contact,Phone Number
30351,330351,2023-03-15,451,Crypto Transfers,Transfer out
30352,330352,2023-03-14,452,Customer Contact,E-mail
30353,330353,2023-03-13,453,Customer Contact,Name
30354,330354,2023-03-12,454,ACAT,ACAT Out
30355,330355,2023-03-11,455,ACH,ACH Out
30356,330356,2023-03-10,456,Customer Contact,Address
30357,330357,2023-03-09,457,Crypto Transfers,Transfer in
30358,330358,2023-03-08,458,Customer Contact,Phone Number
30359,330359,2023-03-07,459,ACAT,ACAT In
30360,330360,2023-03-06,460,Customer Contact,E-mail
30361,330361,2023-03-05,461,Customer Contact,Name
30362,330362,2023-03-04,462,Crypto Transfers,Transfer out
30363,330363,2023-03-03,463,Crypto Transfers,Transfer in
30364,330364,2023-03-02,464,Wire,Wire Out
30365,330365,2023-03-01,465,Customer Contact,Name
30366,330366,2023-02-28,466,Crypto Transfers,Transfer out
30367,330367,2023-02-27,467,Wire,Wire Out
30368,330368,2023-02-26,468,Crypto Transfers,Transfer out
30369,330369,2023-02-25,469,ACAT,ACAT Out
30370,330370,2023-02-24,470,Wire,Wire Out
30371,330371,2023-02-23,471,ACH,ACH Out
30372,330372,2023-02-22,472,ACH,ACH In
30373,330373,2023-02-21,473,Wire,Wire Out
30374,330374,2023-02-20,474,Crypto Transfers,Transfer out
30375,330375,2023-02-19,475,Customer Contact,Address
30376,330376,2023-02-18,476,ACAT,ACAT Out
30377,330377,2023-02-17,477,ACH,ACH In
30378,330378,2023-02-16,478,Crypto Transfers,Transfer in
30379,330379,2023-02-15,479,Crypto Transfers,Transfer out
30380,330380,2023-02-14,480,Customer Contact,Address
30381,330381,2023-02-13,481,Wire,Wire Out
30382,330382,2023-02-12,482,Wire,Wire In
30383,330383,2023-02-11,483,ACH,ACH In
30384,330384,2023-02-10,484,ACAT,ACAT Out
30385,330385,2023-02-09,485,Customer Contact,E-mail
30386,330386,2023-02-08,486,ACAT,ACAT In
30387,330387,2023-02-07,487,Wire,Wire In
30388,330388,2023-02-06,488,Crypto Transfers,Transfer out
30389,330389,2023-02-05,489,Wire,Wire In
30390,330390,2023-02-04,490,Crypto Transfers,Transfer in
30391,330391,2023-02-03,491,ACAT,ACAT Out
30392,330392,2023-02-02,492,Customer Contact,E-mail
30393,330393,2023-02-01,493,ACH,ACH Out
30394,330394,2023-01-31,494,Customer Contact,Phone Number
30395,330395,2023-01-30,495,Wire,Wire In
30396,330396,2023-01-29,496,Wire,Wire Out
30397,330397,2023-01-28,497,Wire,Wire In
30398,330398,2023-01-27,498,Customer Contact,Address
30399,330399,2023-01-26,499,Wire,Wire In
30400,330400,2023-01-25,500,ACH,ACH In
30401,330401,2023-01-24,501,Crypto Transfers,Transfer in
30402,330402,2023-01-23,502,Crypto Transfers,Transfer out
30403,330403,2023-01-22,503,Customer Contact,Phone Number
30404,330404,2023-01-21,504,ACAT,ACAT In
30405,330405,2023-01-20,505,ACAT,ACAT In
30406,330406,2023-01-19,506,Customer Contact,Address
30407,330407,2023-01-18,507,Crypto Transfers,Transfer out
30408,330408,2023-01-17,508,ACH,ACH Out
30409,330409,2023-01-16,509,Wire,Wire In
30410,330410,2023-01-15,510,ACH,ACH In
30411,330411,2023-01-14,511,Wire,Wire Out
30412,330412,2023-01-13,512,Customer Contact,Phone Number
30413,330413,2023-01-12,513,ACH,ACH In
30414,330414,2023-01-11,514,Customer Contact,E-mail
30415,330415,2023-01-10,515,Wire,Wire In
30416,330416,2023-01-09,516,Crypto Transfers,Transfer out
30417,330417,2023-01-08,517,Wire,Wire Out
30418,330418,2023-01-07,518,Crypto Transfers,Transfer in
30419,330419,2023-01-06,519,Wire,Wire In
30420,330420,2023-01-05,520,ACAT,ACAT In
30421,330421,2023-01-04,521,ACH,ACH In
30422,330422,2023-01-03,522,ACH,ACH In
30423,330423,2023-01-02,523,ACAT,ACAT Out
30424,330424,2023-01-01,524,Wire,Wire In
30425,330425,2022-12-31,525,Customer Contact,Name
30426,330426,2022-12-30,526,Wire,Wire In
30427,330427,2022-12-29,527,ACAT,ACAT In
30428,330428,2022-12-28,528,ACAT,ACAT In
30429,330429,2022-12-27,529,Crypto Transfers,Transfer in
30430,330430,2022-12-26,530,Crypto Transfers,Transfer out
30431,330431,2022-12-25,531,Wire,Wire In
30432,330432,2022-12-24,532,Crypto Transfers,Transfer out
30433,330433,2022-12-23,533,Wire,Wire Out
30434,330434,2022-12-22,534,ACH,ACH Out
30435,330435,2022-12-21,535,ACAT,ACAT In
30436,330436,2022-12-20,536,Crypto Transfers,Transfer in
30437,330437,2022-12-19,537,Crypto Transfers,Transfer out
30438,330438,2022-12-18,538,Crypto Transfers,Transfer in
30439,330439,2022-12-17,539,Crypto Transfers,Transfer out
30440,330440,2022-12-16,540,Wire,Wire In
30441,330441,2022-12-15,541,Customer Contact,Phone Number
30442,330442,2022-12-14,542,Customer Contact,E-mail
30443,330443,2022-12-13,543,ACAT,ACAT In
30444,330444,2022-12-12,544,ACAT,ACAT In
30445,330445,2022-12-11,545,Customer Contact,E-mail
30446,330446,2022-12-10,546,ACAT,ACAT In
30447,330447,2022-12-09,547,Customer Contact,Phone Number
30448,330448,2022-12-08,548,ACAT,ACAT In
30449,330449,2022-12-07,549,ACH,ACH Out
30450,330450,2022-12-06,550,ACAT,ACAT Out
30451,330451,2022-12-05,551,ACH,ACH Out
30452,330452,2022-12-04,552,Wire,Wire Out
30453,330453,2022-12-03,553,Customer Contact,Address
30454,330454,2022-12-02,554,Wire,Wire In
30455,330455,2022-12-01,555,ACAT,ACAT Out
30456,330456,2022-11-30,556,Customer Contact,E-mail
30457,330457,2022-11-29,557,ACH,ACH In
30458,330458,2022-11-28,558,ACH,ACH In
30459,330459,2022-11-27,559,ACAT,ACAT Out
30460,330460,2022-11-26,560,Crypto Transfers,Transfer out
30461,330461,2022-11-25,561,Crypto Transfers,Transfer in
30462,330462,2022-11-24,562,Customer Contact,Address
30463,330463,2022-11-23,563,Customer Contact,Phone Number
30464,330464,2022-11-22,564,ACAT,ACAT Out
30465,330465,2022-11-21,565,Customer Contact,Phone Number
30466,330466,2022-11-20,566,Customer Contact,E-mail
30467,330467,2022-11-19,567,Wire,Wire In
30468,330468,2022-11-18,568,Customer Contact,Name
30469,330469,2022-11-17,569,Wire,Wire In
30470,330470,2022-11-16,570,Customer Contact,E-mail
30471,330471,2022-11-15,571,Crypto Transfers,Transfer out
30472,330472,2022-11-14,572,Customer Contact,Address
30473,330473,2022-11-13,573,ACAT,ACAT Out
30474,330474,2022-11-12,574,ACAT,ACAT In
30475,330475,2022-11-11,575,ACAT,ACAT In
30476,330476,2022-11-10,576,Wire,Wire In
30477,330477,2022-11-09,577,Wire,Wire In
30478,330478,2022-11-08,578,ACAT,ACAT Out
30479,330479,2022-11-07,579,ACAT,ACAT Out
30480,330480,2022-11-06,580,ACAT,ACAT Out
30481,330481,2022-11-05,581,Crypto Transfers,Transfer out
30482,330482,2022-11-04,582,ACAT,ACAT In
30483,330483,2022-11-03,583,ACAT,ACAT Out
30484,330484,2022-11-02,584,Crypto Transfers,Transfer in
30485,330485,2022-11-01,585,ACH,ACH Out
30486,330486,2022-10-31,586,Customer Contact,Address
30487,330487,2022-10-30,587,Customer Contact,E-mail
30488,330488,2022-10-29,588,Customer Contact,Name
30489,330489,2022-10-28,589,Wire,Wire Out
30490,330490,2022-10-27,590,ACH,ACH In
30491,330491,2022-10-26,591,Crypto Transfers,Transfer in
30492,330492,2022-10-25,592,ACH,ACH Out
30493,330493,2022-10-24,593,Crypto Transfers,Transfer out
30494,330494,2022-10-23,594,ACAT,ACAT In
30495,330495,2022-10-22,595,Crypto Transfers,Transfer in
30496,330496,2022-10-21,596,Crypto Transfers,Transfer in
30497,330497,2022-10-20,597,Wire,Wire In
30498,330498,2022-10-19,598,Customer Contact,Address
30499,330499,2022-10-18,599,Crypto Transfers,Transfer out
30500,330500,2022-10-17,600,ACAT,ACAT Out
30501,330501,2022-10-16,601,ACH,ACH In
30502,330502,2022-10-15,602,ACAT,ACAT In
30503,330503,2022-10-14,603,Customer Contact,Phone Number
30504,330504,2022-10-13,604,Wire,Wire In
30505,330505,2022-10-12,605,ACAT,ACAT In
30506,330506,2022-10-11,606,ACH,ACH In
30507,330507,2022-10-10,607,Customer Contact,Name
30508,330508,2022-10-09,608,ACAT,ACAT In
30509,330509,2022-10-08,609,Customer Contact,E-mail
30510,330510,2022-10-07,610,Wire,Wire In
30511,330511,2022-10-06,611,Crypto Transfers,Transfer out
30512,330512,2022-10-05,612,ACAT,ACAT In
30513,330513,2022-10-04,613,Wire,Wire Out
30514,330514,2022-10-03,614,Crypto Transfers,Transfer in
30515,330515,2022-10-02,615,Crypto Transfers,Transfer in
30516,330516,2022-10-01,616,ACH,ACH In
30517,330517,2022-09-30,617,Crypto Transfers,Transfer out
30518,330518,2022-09-29,618,Wire,Wire Out
30519,330519,2022-09-28,619,Crypto Transfers,Transfer out
30520,330520,2022-09-27,620,ACAT,ACAT Out
30521,330521,2022-09-26,621,ACH,ACH Out
30522,330522,2022-09-25,622,ACH,ACH In
30523,330523,2022-09-24,623,Customer Contact,Phone Number
30524,330524,2022-09-23,624,Crypto Transfers,Transfer in
30525,330525,2022-09-22,625,Customer Contact,Name
30526,330526,2022-09-21,626,Crypto Transfers,Transfer in
